lambda 				Ln-Likelihood
0.21523046092184372	     			-2962.6969299713232
0.21621242484969944	     			-2962.6982697474023
0.21719438877755515	     			-2962.6996301503946
0.21817635270541086	     			-2962.7010109942066
0.21915831663326657	     			-2962.702412095251
0.22014028056112228	     			-2962.7038332724032
0.221122244488978	     			-2962.7052743469567
0.2221042084168337	     			-2962.7067351425803
0.22308617234468942	     			-2962.7082154852774
0.22406813627254513	     			-2962.709715203343
0.22505010020040084	     			-2962.711234127325
0.22603206412825655	     			-2962.712772089985
0.22701402805611226	     			-2962.7143289262585
0.22799599198396797	     			-2962.7159044732193
0.22897795591182368	     			-2962.7174985700417
0.2299599198396794	     			-2962.7191110579647
0.2309418837675351	     			-2962.720741780256
0.23192384769539082	     			-2962.7223905821793
0.23290581162324653	     			-2962.72405731096
0.23388777555110224	     			-2962.7257418157496
0.23486973947895795	     			-2962.7274439475977
0.23585170340681366	     			-2962.7291635594183
0.23683366733466937	     			-2962.7309005059574
0.23781563126252508	     			-2962.7326546437653
0.2387975951903808	     			-2962.734425831164
0.2397795591182365	     			-2962.7362139282222
0.24076152304609222	     			-2962.7380187967215
0.24174348697394793	     			-2962.7398403001334
0.24272545090180364	     			-2962.7416783035887
0.24370741482965935	     			-2962.7435326738523
0.24468937875751506	     			-2962.7454032792957
0.24567134268537077	     			-2962.7472899898726
0.2466533066132265	     			-2962.7491926770927
0.2476352705410822	     			-2962.7511112139973
0.2486172344689379	     			-2962.753045475136
0.24959919839679362	     			-2962.7549953365397
0.25058116232464933	     			-2962.756960675702
0.25156312625250504	     			-2962.758941371552
0.25254509018036075	     			-2962.760937304435
0.25352705410821647	     			-2962.76294835609
0.2545090180360722	     			-2962.7649744096248
0.2554909819639279	     			-2962.7670153495005
0.2564729458917836	     			-2962.7690710615066
0.2574549098196393	     			-2962.7711414327414
0.258436873747495	     			-2962.7732263515936
0.25941883767535073	     			-2962.7753257077215
0.26040080160320644	     			-2962.777439392034
0.26138276553106216	     			-2962.7795672966713
0.26236472945891787	     			-2962.7817093149874
0.2633466933867736	     			-2962.7838653415324
0.2643286573146293	     			-2962.7860352720318
